feature_set,model_name,n_samples,n_features,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
X_fin_only,logit_l1,158,8,0.5629032258064516,0.08462604048026426,0.5185578151095392,0.107803291733913,0.5672395833333332,0.07459533481186638
X_fin_only,logit_l2,158,8,0.5633064516129032,0.07821801174999776,0.5165492234457751,0.08403948472498533,0.5616666666666666,0.06817535250540407
X_fin_only,random_forest,158,8,0.5306451612903226,0.07920231457296484,0.5294040374770599,0.0827546069066125,0.56796875,0.05575739160640498
X_fin_only,xgboost,158,8,0.5183467741935484,0.04829207740255454,0.49532766084490215,0.07216196932519302,0.5396354166666667,0.04809421363757461
X_text_only,logit_l1,154,19,0.7462365591397849,0.0682096839877579,0.753257808499744,0.06924418684878503,0.7888888888888889,0.036461970718023075
X_text_only,logit_l2,154,19,0.7333333333333333,0.057865049664833176,0.7420528982820418,0.05213950211468134,0.7820555555555555,0.03841842407806411
X_text_only,random_forest,154,19,0.7270967741935485,0.11687217418554069,0.7198847926267281,0.13637477078775834,0.781611111111111,0.09539301421222539
X_text_only,xgboost,154,19,0.7208602150537635,0.12978561438033467,0.7138926264542962,0.15579684202436117,0.7742222222222224,0.08143171038846066
X_fin_plus_X_text,logit_l1,154,27,0.7273118279569892,0.032398261652071374,0.7156732719613044,0.056853773785481364,0.7824444444444444,0.03229512824935015
X_fin_plus_X_text,logit_l2,154,27,0.6946236559139785,0.01874795244533627,0.6928424313296394,0.04084582251295465,0.7712222222222223,0.019570701205603523
X_fin_plus_X_text,random_forest,154,27,0.733763440860215,0.11057528332525493,0.7260170462944787,0.13177061123436737,0.7835,0.08804260332361828
X_fin_plus_X_text,xgboost,154,27,0.6948387096774195,0.06293547560390811,0.6965259740259742,0.06281721657794224,0.747,0.07232181167838955
