feature,importance
gross_margin,0.08754719784355373
cash_to_assets,0.055961927418796395
cogs,0.04621417563938548
net_margin,0.04019172635381638
revenue,0.0353613752349155
long_term_debt,0.034970845076709146
mktcap,0.03396473054661437
mkt_to_book,0.031682647668553596
p_to_s,0.0310701481050935
start_price,0.030359039880933095
current_ratio,0.030290401842609217
op_margin,0.029961058569527056
equity,0.028795408813574046
cash,0.02698843782296465
intangibles,0.026471020452927416
asset_turnover,0.026321533173447393
cash_ratio,0.02620909244614761
rd_to_sales,0.026114846790997202
long_term_debt_ratio,0.025713130183655536
log_mktcap,0.025694800706391463
end_price,0.025101445733143383
current_liabilities,0.024975386996228387
log_assets,0.023699308083362663
roa,0.02306487600664357
debt_to_equity,0.02264642786242169
net_income,0.021485980801629247
assets,0.021192498844542232
rd,0.019892655698052195
debt_total,0.01936742538007557
operating_income,0.018487534563467318
debt_to_assets,0.018267688532006863
p_to_e,0.017246668135758102
current_assets,0.017181054326731313
intangibles_to_assets,0.01494437456938136
roe,0.012563129895943046
cluster,0.0
normal_return_spy,0.0
